,DVS,LAIMAX,TAGP,TWSO,TWLV,TWST,TWRT,CTRAT,RD,DOS,DOE,DOA,DOM,DOH,DOV,year,crop,site
0,2.0,9.63351594075314,19084.702152466267,8901.306608445591,5205.105017471751,4978.290526548924,5035.458246306232,40.276534703149096,100.0,2009-11-15,2009-11-20,2010-02-22,2010-04-21,,,2009,wheat,NileDelta
0,2.0,9.97167393880145,13228.994075089331,3730.5445815957482,4945.366973940376,4553.082519553206,4789.807937766539,34.600176322678536,100.0,2009-11-15,2009-11-21,2010-02-10,2010-03-14,,,2009,wheat,UpperEgypt
0,2.0,9.664856085568877,20774.73830571939,9723.597844271768,5283.738806194002,5767.401655253621,4978.916085508732,39.10264873940796,100.0,2010-11-15,2010-11-20,2011-02-24,2011-04-28,,,2010,wheat,NileDelta
0,2.0,9.972741152620832,16677.36977428639,6673.486051248823,5029.968528560664,4973.9151944769055,4695.662817860708,37.21089998754358,100.0,2010-11-15,2010-11-19,2011-02-06,2011-03-20,,,2010,wheat,UpperEgypt
0,2.0,10.09287687226043,22795.788614880774,9432.703220490645,6501.733071340699,6861.352323049431,6101.347654399147,44.76393260295382,100.0,2011-11-15,2011-11-21,2012-03-12,2012-05-09,,,2011,wheat,NileDelta
0,2.0,10.52904318729491,18307.83741386202,6779.1644482636975,6201.729083689844,5326.943881908479,6033.53690102673,42.53924916563061,100.0,2011-11-15,2011-11-22,2012-02-24,2012-04-04,,,2011,wheat,UpperEgypt
0,2.0,9.706977251277383,20204.639311655657,8835.814992355514,5623.889914630927,5744.934404669219,5316.97905179808,40.33031645815248,100.0,2012-11-15,2012-11-20,2013-03-01,2013-04-28,,,2012,wheat,NileDelta
0,2.0,10.261290660753183,15695.335643078943,5122.246622341113,5574.503597382876,4998.585423354953,5445.270983152069,38.59597301768912,100.0,2012-11-15,2012-11-20,2013-02-14,2013-03-22,,,2012,wheat,UpperEgypt
0,2.0,9.51860278721758,19790.301909207254,9003.134533409899,5187.529826715384,5599.63754908197,4881.133154282499,37.790189364087205,100.0,2013-11-15,2013-11-20,2014-02-28,2014-04-28,,,2013,wheat,NileDelta
0,2.0,10.137379617148005,15717.868136253537,5595.893233937564,5264.421384048093,4857.55351826788,5082.621863621892,36.320781296345935,100.0,2013-11-15,2013-11-21,2014-02-10,2014-03-20,,,2013,wheat,UpperEgypt
0,2.0,9.731308620524974,20499.990536901787,9380.432203756385,5315.137857744559,5804.420475400845,4926.642892233072,38.84421869005692,100.0,2014-11-15,2014-11-20,2015-03-03,2015-05-03,,,2014,wheat,NileDelta
0,2.0,10.138340734786304,16172.702083429951,6166.6840128266585,5248.551036724616,4757.467033878677,5019.642286019156,38.312255922734224,100.0,2014-11-15,2014-11-20,2015-02-11,2015-03-23,,,2014,wheat,UpperEgypt
0,2.0,9.651007948842464,18929.202766450944,8296.148254463062,5232.205458566272,5400.849053421611,4897.06687486426,37.65029786431485,100.0,2015-11-15,2015-11-20,2016-02-28,2016-04-24,,,2015,wheat,NileDelta
0,2.0,10.305366662417242,15960.215450312435,4737.5895278326625,6001.767407328723,5220.858515151049,5730.420681187299,39.30353252309248,100.0,2015-11-15,2015-11-20,2016-02-18,2016-03-24,,,2015,wheat,UpperEgypt
0,2.0,9.883492083681304,21520.711296694877,9296.089395324236,6011.059365773067,6213.562535597575,5637.693418785049,39.51895258223102,100.0,2016-11-15,2016-11-20,2017-03-08,2017-05-06,,,2016,wheat,NileDelta
0,2.0,10.239122314325696,18153.87370063368,6770.4439073848325,5853.605896864714,5529.823896384135,5646.895577557627,40.33748890005121,100.0,2016-11-15,2016-11-20,2017-02-16,2017-03-29,,,2016,wheat,UpperEgypt
0,2.0,9.42742950710985,18069.776526104222,8095.685415333948,4819.635510399984,5154.455600370289,4548.924482971321,36.3168347962607,100.0,2017-11-15,2017-11-20,2018-02-27,2018-04-24,,,2017,wheat,NileDelta
0,2.0,10.061767699347891,14293.076740947949,4477.4133098799975,5143.5623112951025,4672.1011197728485,4803.230622128935,35.297810412858745,100.0,2017-11-15,2017-11-20,2018-02-10,2018-03-16,,,2017,wheat,UpperEgypt
